time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-05-30T14:34:38.199Z,63.2569,-147.2321,5.1,3,ml,,,,0.77,ak,ak0226wb5huj,2022-08-06T22:13:06.040Z,"83 km WNW of Paxson, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2022-05-30T14:32:40.097Z,53.1589,-166.6664,35,2.8,ml,21,210,0.648,0.62,us,us7000hdmn,2022-08-06T22:13:07.040Z,"80 km S of Unalaska, Alaska",earthquake,5.4,2,0.097,14,reviewed,us,us
2022-05-30T14:32:22.894Z,51.3385,-176.0829,35.367,3.3,ml,14,225,0.561,0.71,us,us7000hdmp,2022-08-06T22:13:07.040Z,"70 km SSE of Adak, Alaska",earthquake,2.88,31.236,0.105,12,reviewed,us,us
2022-05-30T14:31:21.264Z,64.2063,-150.4183,16.1,3.1,ml,,,,0.82,ak,ak0226wb4tdp,2022-08-06T22:13:06.040Z,"60 km W of Clear, Alaska, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2022-05-30T14:30:48.198Z,-31.2926,-68.7223,117.43,4.8,mb,26,101,0.254,0.9,us,us7000hdl7,2022-08-06T22:13:06.040Z,"24 km NW of Albardón, Argentina",earthquake,6.4,6.3,0.278,4,reviewed,us,us
2022-05-30T13:25:04.858Z,-10.3311,109.2094,10,4.1,mb,18,114,2.731,0.54,us,us7000hemf,2022-08-06T22:13:23.040Z,"288 km SSW of Srandakan, Indonesia",earthquake,7.6,1.8,0.197,8,reviewed,us,us
2022-05-30T13:22:33.137Z,-56.3983,-25.0578,10,4.8,mb,27,128,6.855,0.52,us,us7000heme,2022-08-06T22:13:23.040Z,"South Sandwich Islands region",earthquake,9,1.9,0.127,22,reviewed,us,us
2022-05-30T13:18:05.989Z,52.2917,-174.3322,210.88,2.8,ml,18,134,0.085,0.38,us,us6000i5qk,2022-08-06T22:12:57.040Z,"13 km NW of Atka, Alaska",earthquake,21.9,5.3,0.105,12,reviewed,us,us
2022-05-30T13:02:40.780Z,-9.9827,109.4939,10,4.3,mb,27,68,2.294,0.82,us,us7000hemc,2022-08-06T22:13:23.040Z,"240 km SSW of Srandakan, Indonesia",earthquake,8.9,1.9,0.153,14,reviewed,us,us
2022-05-30T12:27:40.790Z,51.2493,-178.0475,37.44,2.5,ml,18,209,0.515,0.2,us,us6000i5ql,2022-08-06T22:12:57.040Z,"120 km SW of Adak, Alaska",earthquake,3.7,23.7,0.097,14,reviewed,us,us
2022-05-30T10:46:28.887Z,22.2434,-70.3805,10,4,mb,42,123,1.009,0.88,us,us7000hdkf,2022-08-06T22:13:06.040Z,"266 km E of Abraham’s Bay, Bahamas",earthquake,3.3,2,0.08,42,reviewed,us,us
2022-05-30T10:30:00.382Z,32.11303711,-102.1374809,7.727701823,2.7,ml,23,54,0.02999081754,0.1,tx,tx2022knat,2022-11-10T07:48:44.746Z,"14 km NNW of Midland, Texas",earthquake,0.6807330134,1.077406493,0.1,15,reviewed,tx,tx
2022-05-30T10:01:33.850Z,40.419,-125.3621667,24.02,2.98,md,37,265,0.79,0.25,nc,nc71128134,2022-08-06T22:13:10.040Z,"92km W of Petrolia, CA",earthquake,2.05,15.52,0.189,30,reviewed,nc,nc
2022-05-30T09:50:56.330Z,40.3883333,-125.0521667,5.73,3.64,mw,46,246,0.5515,0.24,nc,nc73739346,2022-08-06T22:13:06.040Z,"65km W of Petrolia, CA",earthquake,0.86,1.55,,3,reviewed,nc,nc
