latitude,longitude,depth,magnitude,distance,gravity,force
39.031,142.349,45.4,6.3,396181,9.8,2.083299545916981e-15
37.442,141.195,49.2,6.0,396177,9.8,2.083341614185718e-15
36.323,142.71,35.0,5.7,396167,9.8,2.0834467904324983e-15
36.943,142.309,21.9,5.7,396160,9.8,2.083520418544277e-15
39.204,142.793,38.5,5.8,396152,9.8,2.083604569736996e-15
38.345,142.191,16.1,5.3,396144,9.8,2.083688726027985e-15
36.403,141.892,35.0,5.7,396138,9.8,2.083751846592214e-15
36.195,141.813,13.8,5.8,396134,9.8,2.083793928561791e-15
38.726,143.837,21.1,5.2,396123,9.8,2.0839096605514643e-15
36.951,142.162,3.1,5.1,396122,9.8,2.0839201821195215e-15
36.525,141.756,26.9,5.4,396117,9.8,2.0839727911550917e-15
37.743,141.573,50.8,5.7,396102,9.8,2.0841306302154984e-15
37.106,142.226,38.0,5.6,396097,9.8,2.0841832472205343e-15
37.012,142.78,0.7,5.7,396087,9.8,2.0842884872085617e-15
36.983,142.815,35.0,5.1,396082,9.8,2.0843411101917536e-15
36.936,142.7,19.3,5.9,396080,9.8,2.0843621599430425e-15
37.593,142.208,48.9,5.7,396071,9.8,2.084456887769996e-15
